Manifeste (thème);Manifeste (action);Répertoire;Objectif général;Objectif intermédiaire;Actions du répertoire des solutions;Cotation coût/climat;Devenir Orléans Métropole;Si Orléans Métropole ne retient pas, motif :;Etat de maturité de la solution;Financement;Ce que nous pourrons faire dès 2022;Soutenu par un document de planification existant ?;Solution Totem;cotation_cout;valeur_cout;cotation_climat;valeur_climat;Nom du thème
6.0;52,97;100;Inondation;Montée en compétences des acteurs du territoire face au risque inondation;Faire une exposition éphemère sur le risque inondation;coût +/impact+;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Recherche de partenariats (CEPRI, maison de la Loire, Etablissement Public Loire);PAPI;non;coût+;1;impact+;1;Risque inondation
6.0;52,97;105;Inondation;Montée en compétences des acteurs du territoire face au risque inondation;Faire des mobiliers urbains informatifs, utilitaires, lieux de passages, aires de jeux;coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Rréflexion à poser dans le cadre de la stratégie globale de sensibilisation de la population au risque inondation. Possibilité d'expérimentation;PAPI;non;coût++;2;impact++;2;Risque inondation
3.0;96,97;244;Biodiversité;Sensibilisation de la population aux enjeux et aux solutions accessibles au plus grand nombre;Poursuite des actions de mobilisation territoriale et de sensibilisation (à destination des élus, services, grand public etc);coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Poursuivre les  24H de la biodiversité, évènement annuel de mobilisation, poursuivre les animations prévues dans les démarches d'Inventaires communaux de la Biodiversité.;;non;coût++;2;impact++;2;Biodiversité
4.0;H4;180;Mobilité;Diminuer l'impact des véhicules motorisés sur l'environnement;Créer des espaces logistiques de proximité en centre-ville;coût ++/impact +;Orléans Métropole soutient;;statut expérimental;n'a pas encore été chiffré;Définition rôle de la collectivité pour le soutien de projet privé;;non;coût++;2;impact+;1;Mobilités durables
9.0;H3;365;Ville durable;Préserver les ressources;Chercher à protéger la biodiversité présente sur le site des Groues avec une surface en eau comme celle aménagée au parc de l'Etuvée (inventaire réalisé par LNE, étude d'impact de la ZAC);coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Le volet biodiversité sera un des axes prégnants du cahier d'aménagement du site;;non;coût++;2;impact+++;3;Ville durable
9.0;H7;366;Ville durable;Préserver les ressources;"Poursuivre la valorisation de la Loire et du Loiret, en ""allant plus loin«  sur les actions écologiques pour en faire un marqueur très qualitatif d'Orléans.";coût ++/impact +++;Orléans Métropole soutient;;est déjà en place,fonctionne;n'a pas encore été chiffré;Sur le Loiret, une conférence de consensus doit être organisée par la Commission Locale de l'Eau afin de dégager un principe d'action et de valorisation;;non;coût++;2;impact+++;3;Ville durable
9.0;H9;370;Ville durable;Développer la connaissance autour de la ville durable et ses ressources;Soutenir la recherche fondamentale dans de nombreux domaines, en particulier ceux des matériaux, de l'énergie et de la biodiversité (nature, eau);coût ++/ impact ++;Orléans Métropole soutient;;mérite une progression;;Soutiens déjà apportés à travers les pôles de compétitivité;;non;coût++;2;impact++;2;Ville durable
2.0;2;297;Rénovation;Impulser la rénovation énergétique des bâtiments par le déploiement de solutions de financement adaptées;Accompagner l'organisation de groupements de travaux pour réduire les coûts;coût ++/ impact ++;Orléans Métropole soutient;;pas besoin d'études,facile à déployer;fait l'objet d'une inscription au PPI;Intégrer cette actions aux missions du guichet de la rénovation énergétique (convention);PLH;non;coût++;2;impact++;2;Rénovation énergétique
2.0;3;301;Rénovation;Structurer les filières professionnelles et acteurs pour une montée en compétence vers des rénovations performantes;Organiser les filières de réemploi des matériaux de construction, y compris leur stockage, et de matériaux biosourcés;coût ++/impact +++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Identifier les acteurs et travailler avec la direction des déchets, l'Institut Territoires Circulaires;;non;coût++;2;impact+++;3;Rénovation énergétique
2.0;3;304;Rénovation;Structurer les filières professionnelles et acteurs pour une montée en compétence vers des rénovations performantes;Former les services techniques des collectivités à la rénovation énergétique des équipements publics;coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Définir un programme de formation avec un organisme ad hoc;;non;coût++;2;impact++;2;Rénovation énergétique
1.0;14;60;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Favoriser la collecte des déchets ménagers dans une logique de méthanisation.;coût +++/impact+++;Orléans Métropole pilote;;besoin d'études préalables;a été chiffré mais n'est pas budgété;"Finalisation de l'étude sur la valorisation des biodéchets ménagers et assimilés 
Réalisation d'une étude sur la valorisation des déchets verts des professionnels";SDE;non;coût+++;3;impact+++;3;Energies renouvelables
1.0;12;64;EnR;Agir spécifiquement en faveur du développement du photovoltaïque;Sensibiliser et accompagner les copropriétés et les bailleurs sociaux à l'opportunité du solaire photovoltaïque;coût +/impact +++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;a été chiffré mais n'est pas budgété;Profiter de la révision du Plan Local de l'Habitat 4 pour sensibiliser les acteurs de l'habitat collectif au développement sur solaire photovoltaïque;SDE;non;coût+;1;impact+++;3;Energies renouvelables
7.0;24;89;Eau;Préserver les ressources en eau;Préserver et développer les zones humides;coût +/impact +++;Orléans Métropole soutient;;;;Approche déclinée dans l'axe biodiversité.;;non;coût+;1;impact+++;3;Eau et milieux aquatiques
3.0;24;910;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Intensifier la gestion raisonnée des espaces urbains et des jardins;;;;;;;;non;;N.A.;;N.A.;Biodiversité
3.0;25;256;Biodiversité;La nature comme solution;Planter des arbres et protéger les arbres en ville en augmentant fortement le nombre d'arbres reconnus d'intérêt;coût +++/impact+++;Orléans Métropole pilote;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Examiner la protection des arbres dans les zones pavillonnaires d'Orléans la Source en tant que site pilote;PLUm;non;coût+++;3;impact+++;3;Biodiversité
4.0;15;178;Mobilité;Diminuer l'impact des véhicules motorisés sur l'environnement;Augmenter l'offre de bornes de recharge pour véhicule électriques et créer des stations mixtes d'avitaillement sur l'ensemble du département;coût +++/impact ++;Orléans Métropole pilote;;besoin d'études préalables;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Lancement d'une démarche de type SDRIVE (Schéma Directeur des Infrastrustures de Recharge des Véhicules Electriques) en lien avec le Conseil Départemental et les intercommunalités voisines;SDE;non;coût+++;3;impact++;2;Mobilités durables
1.0;18;46;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Animer la filière géothermie;;;;;;;;non;;N.A.;;N.A.;Energies renouvelables
3.0;26;253;Biodiversité;La nature comme solution;Utiliser les plantations en ombrières;coût +/impact +++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;A utiliser quand il n'est possible de planter des arbres, dans le cadre d'opérations financées;;non;coût+;1;impact+++;3;Biodiversité
4.0;38;179;Mobilité;Diminuer l'impact des véhicules motorisés sur l'environnement;"Accompagner le secteur de la livraison vers des usages plus respectueux de l’environnement : Inciter l'usage de véhicules ""propres"" (électriques, vélo-cargo) pour les livraisons via le règlement de livraison (horaires élargis)";coût+/ impact++;Orléans Métropole soutient;;facile à déployer;n'a pas encore été chiffré;Concertation avec élus et transporteurs via la concertation autour du projet de la ZFE;PDU;non;coût+;1;impact++;2;Mobilités durables
8.0;71;192;Alimentation;Faciliter l'accès aux produits locaux pour les professionnels et les particuliers;Développer une offre de produits transformés locaux et bio;coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;En fonction de la convention de partenariat économique avec la Région - abondement aux aides régionales pour le développement de l'agriculture biologique et le développement de la vente directe;Charte agricole;non;coût++;2;impact++;2;Alimentation et agriculture
6.0;57;118;Inondation;Mieux connaitre et adapter son territoire;Remettre le déversoir de Jargeau en état;coût +++/impact+++;Orléans Métropole soutient;;a fait l'objet d'une étude de préfiguration;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Le programme des travaux a été rédigé, ce projet est piloté par la DDT pour une phase de travaux 2022/ 2023. Financement d'Orléans Métropole via une convention passée en 2020;PAPI;non;coût+++;3;impact+++;3;Risque inondation
5.0;41;399;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;"Inscrire les collectivités dans dans l'initiative ambitieuse et rayonnante ""territoire zéro déchet""";coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Arbitrer politiquement cette proposition et formaliser l'engagement dans le cadre du PLPDMA;PLPD;non;coût++;2;impact++;2;Déchets et économie circulaire
9.0;90;318;Ville durable;Développer une approche intégrée d'évaluation des projets urbains;Développer des infrastructures favorables aux mobilités piéton et vélo : autoroutes à vélo sur les axes principaux de la ville, zone de stationnement vélo sécurisé, zones piétonnes…;coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;;Approche déclinée dans l'axe Mobilité;autre;non;coût++;2;impact++;2;Ville durable
6.0;58;115;Inondation;Mieux connaitre et adapter son territoire;Favoriser le drainage des eaux pluviales dans les nouveaux projets;coût ++/impact +++;Orléans Métropole soutient;;a fait l'objet d'une étude de préfiguration;sans objet;Utilisation du référentiel ville durable et appui sur la stratégie développée par le Pôle DREAM;PLUm;non;coût++;2;impact+++;3;Risque inondation
7.0;63;84;Eau;Préserver les ressources en eau;Réduire les fuites d’eau et améliorer le rendement du réseau d’eau potable;coût +++/impact+++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;a été chiffré mais n'est pas budgété;Pas d'action en 2022. Proposition du Schéma Directeur d'Alimentation en Eau Potable => mettre à niveau l'ensemble des réseaux des communes. Ambition possible uniquement à partir de 2024 et si le budget le permet;autre;oui;coût+++;3;impact+++;3;Eau et milieux aquatiques
